date,World,Afghanistan,Albania,Algeria,Andorra,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Belarus,Belgium,Benin,Bhutan,Bolivia,Bosnia and Herzegovina,Brazil,Brunei,Bulgaria,Burkina Faso,Cambodia,Cameroon,Canada,Cayman Islands,Central African Republic,Chile,China,Colombia,Congo,Costa Rica,Cote d'Ivoire,Croatia,Cuba,Curacao,Cyprus,Czech Republic,Democratic Republic of Congo,Denmark,Dominican Republic,Ecuador,Egypt,Equatorial Guinea,Estonia,Ethiopia,Faeroe Islands,Finland,France,French Guiana,French Polynesia,Gabon,Georgia,Germany,Ghana,Gibraltar,Greece,Guadeloupe,Guam,Guatemala,Guernsey,Guinea,Guyana,Honduras,Hungary,Iceland,India,Indonesia,International,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jersey,Jordan,Kazakhstan,Kenya,Kuwait,Latvia,Lebanon,Liberia,Liechtenstein,Lithuania,Luxembourg,Macedonia,Malaysia,Maldives,Malta,Martinique,Mauritania,Mayotte,Mexico,Moldova,Monaco,Mongolia,Morocco,Namibia,Nepal,Netherlands,New Zealand,Nigeria,Norway,Oman,Pakistan,Palestine,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Reunion,Romania,Russia,Rwanda,Saint Barthlemy,Saint Lucia,Saint Martin (French part),Saint Vincent and the Grenadines,San Marino,Saudi Arabia,Senegal,Serbia,Seychelles,Singapore,Slovakia,Slovenia,Somalia,South Africa,South Korea,Spain,Sri Lanka,Sudan,Suriname,Swaziland,Sweden,Switzerland,Tanzania,Thailand,Togo,Trinidad and Tobago,Tunisia,Turkey,Ukraine,United Arab Emirates,United Kingdom,United States,United States Virgin Islands,Uruguay,Uzbekistan,Vatican,Venezuela,Vietnam
2020-02-23,2463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2445,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,3,5,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,
2020-02-24,2618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2595,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,3,8,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,
2020-02-25,2700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2666,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,3,12,,,,6,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,
2020-02-26,2762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2718,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,3,15,,,,11,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,
2020-02-27,2804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2747,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,4,22,,,,12,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,
2020-02-28,2858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2791,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,4,26,,,,17,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,
2020-02-29,2924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2838,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,6,34,,,,21,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,
2020-03-01,2977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2873,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,6,43,,,,29,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,
2020-03-02,3043,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,2915,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,6,54,,,,35,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,1,,,,,,,,,,,,,,
2020-03-03,3112,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,2946,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,6,66,,,,52,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,1,,,,,,,,2,,,,,,
2020-03-04,3198,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,2984,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,6,77,,,,80,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,1,,,,,,,,6,,,,,,
2020-03-05,3280,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,3015,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,6,92,2,,,107,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,35,1,,,,,,,,1,,,,,,,,9,,,,,,
2020-03-06,3380,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,3045,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,6,107,2,,,148,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,42,3,,,,,,1,,1,,,,,,,,10,,,,,,
2020-03-07,3486,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,3073,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,6,124,4,,,197,,6,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,44,5,,,,,,1,,1,,,,,,,1,11,,,,,,
2020-03-08,3584,,,,,,1,,,3,,,,,,,,,,,,,,,,,,,,,,3100,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,7,145,4,,,234,,6,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,50,5,,,,,,2,,1,,,,,,,2,11,,,,,,
2020-03-09,3809,,,,,,1,,,3,,,,,,,,,,,,,,,,,,,,,,3123,,,,,,,,,,,,,,1,,,,,,19,,,,,,,,,,,,,,,,,,,,7,194,6,,,366,,7,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,51,10,,,,,,2,,1,,,,,,,2,11,,,,,,
2020-03-10,4012,,,,,,1,,,3,,,,,,,,,,,,,,,,,,,,,,3140,,,,,,,,,,,,,,1,,,,,,30,,,,,2,,,,,,,,,,,,,,,7,237,6,,,463,,9,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,1,,,,,,,,,,,,,2,,,,,,,,,,54,28,,,,,,2,,1,,,,,,,3,19,,,,,,
2020-03-11,4292,,,,,,1,,,3,,,,,,,,,,,,,,,,,,1,,,,3162,,,,,,,,,,,,,,1,,,,,,33,,,,,2,,,,,,,,,,,,,,1,7,291,6,,,631,,12,,,,,,,1,,,,,,,,,,,,,,,,1,,,4,,,,,,,1,,,1,,,,,,,,,,,,,2,,,,,,,,,,60,36,,,,,,3,,1,,,,,,,6,25,,,,,,
2020-03-12,4613,,,1,,,1,,,3,,,,,,,,,,,,,,1,,,,1,,,,3173,,,,,,,,,,,,,,1,,,,,,48,,,,,3,,,1,,,,,,,,,,,1,7,354,7,1,,827,,15,,,,,,,3,,,,,,,,,,,,,,,,1,,,5,,,,,,,1,,,2,,,,,,,,,,,,,2,,,,,,,,,,66,48,,,,,,4,,1,,,,,,,6,29,,,,,,
2020-03-13,4956,,,1,,,1,,,3,1,,,,,,,,,,,,,1,,,,1,,,,3180,,,,,,,,,,,,,,1,,,,,,61,,,,,6,,,1,,,,,,1,,,,1,1,7,429,7,1,,1016,,19,,,,,,,3,,,,,,,,,,,,,,,,1,,,5,,,1,,,,1,,,2,1,,,,,,,,,,,,2,,,,,,,,,,66,84,,,,,,6,,1,,,,,,,8,36,,,,,,
2020-03-14,5392,,1,2,,,2,,,3,1,,,,,,,,,,,,,1,,,,1,,,,3194,,,,,,,,,,,,,,2,,,,,,79,,,,,6,,,1,,,,,,1,,,,2,3,7,514,9,1,,1268,,21,,,,,,,3,,,,1,,,,,,,,,,,,1,,,10,,,1,,,,1,,,2,1,,,,,,,,,,,,2,,,,,,,,,,72,120,,,,,,6,,1,,,,,1,,10,41,,,,,,
2020-03-15,5735,,1,3,,,2,,,3,1,,,,,,,,,,,,,2,,,,1,,,,3204,,,,,,,,,,,,,,2,,,,,,91,,,,,8,,,2,,,,,,1,,,,2,4,7,608,9,2,,1441,,22,,,,,,,3,,,,1,,,,,,,,,,,,1,,,12,,,1,,,,1,,,6,3,,,,,,,,,,,,5,,,,,,,,,,75,136,,,,,,11,,1,,,,,1,,21,41,,,,,,
2020-03-16,6606,,1,3,,,2,,,5,1,,,1,,,5,,,,,,,2,,,,1,1,,,3218,,,,,,,,,,,1,,2,2,,,,,,127,,,,,12,,,4,,,1,,,1,,1,,2,4,7,853,9,2,,1809,,24,,,,,,,3,,,,1,,,,,,,,,,,,1,,,20,,,1,,,,1,,,12,3,,,,,,,,,,,,5,,,,,,,,,,75,288,,1,,,3,13,,1,,,,,1,,35,41,,,,,,
2020-03-17,7426,,1,4,,,2,,,5,3,,,1,,,5,,,,,,,2,,,,1,1,,,3231,,,,,,,,,,,4,1,2,4,,,,,,148,,,,,13,,,4,,,1,,,1,,1,,3,5,7,853,9,2,,2503,,28,,,,,,,3,,,,1,,,,,,,,,,,,2,,,24,,,3,,,,1,,,12,3,,,,,,,,,,,,9,,,,,,,,,,81,309,,1,,,3,14,,1,,,,,1,,55,58,,,,,,
