location,date,vaccine,total_vaccinations,source_url,people_vaccinated,people_fully_vaccinated
Lebanon,2021-02-13,Pfizer/BioNTech,0,https://www.reuters.com/article/us-health-coronavirus-lebanon-vaccine-idUSKBN2AE08B,,
Lebanon,2021-02-14,Pfizer/BioNTech,48,https://impact.cib.gov.lb/home/dashboard/vaccine,,
Lebanon,2021-02-15,Pfizer/BioNTech,1280,https://impact.cib.gov.lb/home/dashboard/vaccine,,
Lebanon,2021-02-16,Pfizer/BioNTech,3266,https://impact.cib.gov.lb/home/dashboard/vaccine,,
Lebanon,2021-02-17,Pfizer/BioNTech,5932,https://impact.cib.gov.lb/home/dashboard/vaccine,,
Lebanon,2021-02-18,Pfizer/BioNTech,9605,https://impact.cib.gov.lb/home/dashboard/vaccine,,
Lebanon,2021-02-19,Pfizer/BioNTech,13329,https://impact.cib.gov.lb/home/dashboard/vaccine,,
Lebanon,2021-02-20,Pfizer/BioNTech,13329,https://impact.cib.gov.lb/home/dashboard/vaccine,,
Lebanon,2021-02-21,Pfizer/BioNTech,13329,https://impact.cib.gov.lb/home/dashboard/vaccine,,
Lebanon,2021-02-22,Pfizer/BioNTech,18031,https://impact.cib.gov.lb/home/dashboard/vaccine,,
Lebanon,2021-02-23,Pfizer/BioNTech,21575,https://impact.cib.gov.lb/home/dashboard/vaccine,,
Lebanon,2021-02-24,Pfizer/BioNTech,25393,https://impact.cib.gov.lb/home/dashboard/vaccine,,
Lebanon,2021-02-25,Pfizer/BioNTech,29820,https://impact.cib.gov.lb/home/dashboard/vaccine,,
Lebanon,2021-02-26,Pfizer/BioNTech,34991,https://impact.cib.gov.lb/home/dashboard/vaccine,,
Lebanon,2021-02-27,Pfizer/BioNTech,34991,https://impact.cib.gov.lb/home/dashboard/vaccine,,
Lebanon,2021-02-28,Pfizer/BioNTech,40593,https://impact.cib.gov.lb/home/dashboard/vaccine,,
Lebanon,2021-03-01,Pfizer/BioNTech,45859,https://impact.cib.gov.lb/home/dashboard/vaccine,,
Lebanon,2021-03-02,Pfizer/BioNTech,47625,https://impact.cib.gov.lb/home/dashboard/vaccine,,
Lebanon,2021-03-03,Pfizer/BioNTech,54585,https://impact.cib.gov.lb/home/dashboard/vaccine,,
Lebanon,2021-03-04,Pfizer/BioNTech,57474,https://impact.cib.gov.lb/home/dashboard/vaccine,,
